Period,Start,End
Middle Ages,500,1400
Early Renaissance,1400,1550
High Renaissance,1400,1550
Northern Renaissance,1430,1550
Mannerism,1527,1580
Baroque,1600,1750
Neoclassical,1750,1850
Romanticism,1780,1850
Realism,1840,1900
Impressionism,1865,1885
Post-Impressionism,1885,1910
Fauvism,1900,1935
Cubism,1905,1920
Surrealism,1917,1950
Abstract Expressionism,1940,1960
Post Modernism,1970,2020
Deconstructivism,1970,2020
