"","ID","History","Portrait","Landscape","Genre","StillLife","Abstract","Other","Animal","diff","famous","sold","height","width"
"1","american-art-n09633_1",0,0,0,0,0,1,0,0,0.5,1,1,18,23
"2","american-art-n09633_10",0,0,0,0,1,0,0,0,0.666666666666667,1,1,24,18
"3","american-art-n09633_100",1,0,0,0,0,0,0,0,0.5,1,1,24,NA
"4","american-art-n09633_101",0,1,0,0,0,0,0,0,0.333333333333333,1,1,13.5,10
"5","american-art-n09633_102",0,1,0,0,0,0,0,0,0.666666666666667,1,1,38,33
"6","american-art-n09633_103",1,0,0,0,0,0,0,0,0.428571428571429,1,1,33.125,NA
"7","american-art-n09633_104",0,0,0,0,1,0,0,0,0.4,1,1,14.5,18
"8","american-art-n09633_105",0,0,1,0,0,0,0,0,0.4,1,1,24,28
"9","american-art-n09633_106",0,0,1,0,0,0,0,0,0.5,1,1,20,24
"10","american-art-n09633_107",0,0,1,0,0,0,0,0,0.5,1,1,20,24
"11","american-art-n09633_109",0,0,1,0,0,0,0,0,0.5,1,1,18,24
"12","american-art-n09633_11",0,0,1,0,0,0,0,0,0.5,1,1,24,18
"13","american-art-n09633_110",0,0,1,0,0,0,0,0,0.4,1,1,16,24
"14","american-art-n09633_111",0,0,0,0,0,0,1,0,0.5,1,1,11.375,9.25
"15","american-art-n09633_112",0,0,0,0,0,0,1,0,0.5,1,1,30,20
"16","american-art-n09633_113",0,0,1,0,0,0,0,0,0.5,1,1,24,30
"17","american-art-n09633_114",0,0,0,0,0,0,1,0,0.5,1,1,30,45
"18","american-art-n09633_115",0,0,0,0,0,0,1,0,0.428571428571429,1,1,20,24
"19","american-art-n09633_116",0,0,0,0,1,0,0,1,0.5,1,1,11.5,NA
"20","american-art-n09633_117",0,0,0,0,0,0,1,0,0.666666666666667,1,1,24,17.25
"21","american-art-n09633_118",0,1,0,0,0,0,0,0,0.666666666666667,1,1,29,27
"22","american-art-n09633_119",0,1,0,0,0,0,0,0,0.333333333333333,1,1,28.75,27
"23","american-art-n09633_12",0,0,1,0,0,0,0,0,0.5,1,1,14,10
"24","american-art-n09633_120",0,0,0,0,0,0,1,0,0.5,1,1,17.5,14.5
"25","american-art-n09633_121",0,0,0,0,0,0,1,0,0.428571428571429,1,1,18,14.5
"26","american-art-n09633_122",0,0,0,1,0,0,0,0,0.333333333333333,1,1,12,16.125
"27","american-art-n09633_123",0,0,0,1,0,0,0,0,0.4,1,1,24.5,23
"28","american-art-n09633_124",1,0,0,0,0,0,0,0,0.5,1,1,21,44
"29","american-art-n09633_125",0,0,1,0,0,0,0,0,0.333333333333333,1,0,24.75,NA
"30","american-art-n09633_126",0,0,0,0,0,0,1,0,0.5,1,1,29,20.75
"31","american-art-n09633_127",0,0,1,0,0,0,0,0,0.5,1,1,21.5,29.75
"32","american-art-n09633_128",0,0,0,0,0,0,1,0,0.666666666666667,1,1,29.75,21.875
"33","american-art-n09633_129",0,1,0,0,0,0,0,0,0.5,1,1,25,30
"34","american-art-n09633_13",0,0,1,0,0,0,0,0,0.4,1,1,7.5,12.25
"35","american-art-n09633_130",0,0,1,0,0,0,0,0,0.5,1,1,10.75,14.75
"36","american-art-n09633_131",0,0,0,0,1,0,0,0,0.5,1,1,32,26
"37","american-art-n09633_132",0,0,0,1,0,0,0,0,0.5,1,1,22,23
"38","american-art-n09633_133",0,0,1,0,0,0,0,0,0.4,1,1,52,60
"39","american-art-n09633_134",0,0,1,0,0,0,0,0,0.4,1,1,22,30
"40","american-art-n09633_135",0,0,1,0,0,0,0,0,0.333333333333333,1,1,30,40
"41","american-art-n09633_136",0,0,0,0,0,0,1,0,0.333333333333333,1,1,40,30
"42","american-art-n09633_137",0,0,0,0,0,0,1,0,0.4,1,1,45,NA
"43","american-art-n09633_138",0,0,0,0,1,0,0,0,0.5,1,1,12,24
"44","american-art-n09633_139",0,1,0,0,0,0,0,0,0.5,1,1,28.5,20.75
"45","american-art-n09633_14",0,0,0,0,1,0,0,0,0.5,1,1,33.5,26
"46","american-art-n09633_140",0,0,0,0,0,0,1,0,0.4,1,1,24,32
"47","american-art-n09633_141",0,0,0,0,0,0,1,0,0.4,1,1,22,27
"48","american-art-n09633_142",1,0,0,0,0,0,0,0,0.5,1,1,46,NA
"49","american-art-n09633_143",1,0,0,0,0,0,0,0,0.333333333333333,1,1,15.25,NA
"50","american-art-n09633_15",0,0,0,0,0,1,0,0,0.666666666666667,0,0,13,11.75
"51","american-art-n09633_16",0,0,1,0,0,0,0,0,0.666666666666667,1,0,14,16
"52","american-art-n09633_17",0,0,0,0,1,0,0,0,0.5,1,1,24,18
"53","american-art-n09633_18",0,0,1,0,0,0,0,0,0.666666666666667,1,0,19.75,25.75
"54","american-art-n09633_19",0,0,0,0,1,0,0,0,0.666666666666667,1,1,21.75,18
"55","american-art-n09633_2",0,0,1,0,0,0,0,0,0.5,1,1,17,22
"56","american-art-n09633_20",0,1,0,0,0,0,0,0,0.333333333333333,1,1,20,16
"57","american-art-n09633_21",0,0,0,0,0,0,1,0,0.4,1,1,25.5,NA
"58","american-art-n09633_22",0,0,0,0,1,0,0,1,0.4,1,1,6.5,NA
"59","american-art-n09633_23",0,0,0,0,1,0,0,0,0.428571428571429,0,0,6,NA
"60","american-art-n09633_24",0,0,1,0,0,0,0,0,0.5,1,1,26,32
"61","american-art-n09633_25",0,0,1,0,0,0,0,0,0.5,1,1,16,11.875
"62","american-art-n09633_26",0,1,0,0,0,0,0,0,0.5,1,0,24,20
"63","american-art-n09633_27",0,1,0,0,0,0,0,0,0.4,1,1,40,32.25
"64","american-art-n09633_28",0,0,1,0,0,0,0,0,0.5,1,1,16,20
"65","american-art-n09633_29",0,0,1,0,0,0,0,0,0.5,1,0,25,30
"66","american-art-n09633_3",0,0,0,0,1,0,0,0,0.5,1,1,25,19
"67","american-art-n09633_30",0,0,1,0,0,0,0,0,0.5,1,0,28,36
"68","american-art-n09633_31",0,0,1,0,0,0,0,0,0.5,1,1,24,30
"69","american-art-n09633_32",0,0,0,0,1,0,0,0,0.333333333333333,1,1,23,25.75
"70","american-art-n09633_33",0,0,0,0,1,0,0,0,0.5,1,0,27.25,20.75
"71","american-art-n09633_34",0,0,0,0,1,0,0,0,0.4,1,0,25,22
"72","american-art-n09633_35",0,0,0,1,0,0,0,0,0.5,1,0,24,20
"73","american-art-n09633_36",0,0,1,0,0,0,0,0,0.4,1,1,10,8
"74","american-art-n09633_37",0,0,1,0,0,0,0,0,0.5,1,1,9.25,15.125
"75","american-art-n09633_38",0,0,1,0,0,0,0,0,0.4,1,1,20.75,15.875
"76","american-art-n09633_39",0,0,1,0,0,0,0,0,0.4,1,1,25,17.25
"77","american-art-n09633_4",0,0,1,0,0,0,0,0,0.5,1,1,13,15
"78","american-art-n09633_40",0,0,0,0,1,0,0,0,0.4,0,1,9.75,13.625
"79","american-art-n09633_41",0,0,1,0,0,0,0,0,0.666666666666667,1,1,20,24.125
"80","american-art-n09633_42",0,0,1,0,0,0,0,0,0.5,1,1,26.25,32.25
