,auctionName,auctionId,auctionDate
0,"Robert de Balkany, Rue de Varenne, Paris – Day sale",robert-de-balkany-rue-de-varenne-paris-pf1661, 28 SEP 2016—29 SEP 2016
1,"Robert de Balkany, Rue de Varenne, Paris  – Evening sale ",robert-de-balkany-rue-de-varenne-paris-pf1660,20 SEP 2016
2,Tableaux et Dessins Anciens et du XIXe siècle,tableaux-sculptures-dessins-anciens-xix-siecle-pf1609,16 JUN 2016
3,Schweizer Kunst / Swiss Art: Swiss Made,schweizer-kunst-swiss-art-zh1603,31 MAY 2016
4,19th Century European Paintings,19th-century-european-paintings-l16101,25 MAY 2016
5,19th Century European Art,19th-century-european-art-n09499,18 MAY 2016
6,"Voyage à Rome, Collection particulière italienne, IIème partie",voyage-rome-particuliere-italienne-pf1640,04 MAY 2016
7,Collections &amp; Collectors,collections-l16304,28 APR 2016
8,The Orientalist Sale,orientalist-sale-l16100,19 APR 2016
9,Collection Boutet de Monvel,collection-boutet-de-monvel-pf1639, 05 APR 2016—06 APR 2016
10,"Pelham, The Public and the Private",pelham-public-private-l16322,08 MAR 2016
11,"Deborah, Duchess of Devonshire: The Last of the Mitford Sisters",deborah-duchess-devonshire-l16318,02 MAR 2016
12,1850–1950: Design Masterpieces from the Polo Collection,1850-1950-design-masterpieces-polo-collection-l16317,24 FEB 2016
13,Master Paintings &amp; 19th Century European Art,master-paintings-19th-century-european-art-n09459, 29 JAN 2016—30 JAN 2016
14,The Collection of A. Alfred Taubman: Old Masters,old-masters-collection-a-alfred-taubman-n09458,27 JAN 2016
15,"Of Royal and Noble Descent Including Works of Art from Palazzo Sacchetti, Rome",of-royal-and-noble-descent-l16306,19 JAN 2016
16,19th Century European Paintings,19th-century-european-paintings-l15102,16 DEC 2015
17,Old Master &amp; British Paintings Day Sale,old-master-british-paintings-day-sale-l15037,10 DEC 2015
18,The Winter Collection,winter-collection-l15234,10 DEC 2015
19,20th Century Art – A Different Perspective ,20th-century-art-l15103,02 DEC 2015
20,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1506,01 DEC 2015
21,BERNHEIMER Day Sale,bernheimer-day-sale-l15043,25 NOV 2015
22,BERNHEIMER Evening Sale,bernheimer-evening-sale-l15042,24 NOV 2015
23,The Collection of A. Alfred Taubman: Modern &amp; Contemporary Art,modern-contemporary-art-collection-a-alfred-taubman-n09431,05 NOV 2015
24,19th Century European Art,19th-century-european-art-n09417,03 NOV 2015
25,Regards sur l’Orient  - Tableaux et Sculptures Orientalistes et Art Islamique,art-orientaliste-pf1519,22 OCT 2015
26,Property from the Collection of Mary Sayles Booker Braga,property-collection-mary-sayles-booker-braga-n09412, 19 OCT 2015—20 OCT 2015
27,Palladio ‘70&lt;br&gt;Mobilier et Objets d’Art provenant d’une villa décorée par John Fowler et Tom Parr,palladio-70-mobilier-objets-art-villa-john-fowler-tom-parr-pf1551,08 OCT 2015
28,"Une Collection pour l’Histoire Importants tableaux, dessins, meubles et souvenirs historiques appartenant à la Famille de France",collection-histoire-famille-france-pf1531, 29 SEP 2015—30 SEP 2015
29,Old Master &amp; British Drawings,old-master-british-drawings-l15040,08 JUL 2015
30,"Tableaux, Sculptures et Dessins Anciens et du XIXe siècle",tableaux-dessins-anciens-19-siecle-pf1509,17 JUN 2015
31,A Tale of Two Cities: Venice and Dresden Two Private Collections,tale-two-cities-venice-dresden-l15320,09 JUN 2015
32,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1503,02 JUN 2015
33,"The Duchess Property &amp; Precious Objects from the Estate of Mary, Duchess of Roxburghe",duchess-roxburghe-l15317, 27 MAY 2015—28 MAY 2015
34,19th Century European Paintings,19th-century-european-paintings-l15101,21 MAY 2015
35,19th and 20th Century Sculpture,19th-20th-century-sculpture-l15230,20 MAY 2015
36,19th Century European Art,19th-century-european-art-n09342,07 MAY 2015
37,Collections,collections-l15304,30 APR 2015
38,The Weldon Collection,weldon-collection-n09335,22 APR 2015
39,The Orientalist Sale,orientalist-sale-l15100,21 APR 2015
40,Sotheby's Designer Showhouse,sothebys-designer-showhouse-n09333,20 APR 2015
41,The New York Sale,the-new-york-sale-n09215,01 APR 2015
42,"Trois Collections Particulières Miniatures, Dessins Anciens et du XIXe siècle, Tableaux du XIXe siècle",oeil-collectionneurs-tableaux-dessins-miniatures-pf1540,01 APR 2015
43,Les Dillée : Une dynastie d’experts et de collectionneurs,dillee-dynastie-experts-collectionneurs-pf1541, 18 MAR 2015—19 MAR 2015
44,Of Royal and Noble Descent,of-royal-and-noble-descent-l15306,24 FEB 2015
45,Collections des Ducs de Mortemart Château du Réveillon,collections-ducs-rochechouart-mortemart-pf1529,11 FEB 2015
46,À Table !,a-table-pf1460,17 DEC 2014
47,19th Century European Paintings,19th-century-european-paintings-l14102,10 DEC 2014
48,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1406,02 DEC 2014
49,Czech Avant-Garde Art from the Roy and Mary Cullen Collection,czech-avant-garde-art-roy-mary-cullen-l14122,12 NOV 2014
50,20th Century Art – A Different Perspective,20th-century-art-different-perspective-l14103,12 NOV 2014
51,19th Century European Art,19th-century-european-art-n09218,06 NOV 2014
52,"L’œil d’un collectionneur Important Mobilier, Objets d’Art et Tableaux du XVIIIe siècle",oeil-collectionneur-mobilier-objets-art-tableaux-18-siecle-pf1431,05 NOV 2014
53,"Property from the Estate of Rochelle Sepenuk, Part II ",estate-rochelle-sepenuk-n09212,29 OCT 2014
54,Collections,collections-l14305,28 OCT 2014
55,Regards sur l’Orient - Tableaux et Sculptures Orientalistes et Art Islamique,art-orientaliste-islam-pf1419,23 OCT 2014
56,Old Master &amp; British Drawings,old-master-british-drawings-l14040,09 JUL 2014
57,Tableaux et Dessins Anciens et du XIXe siècle,tableaux-anciens-19-siecle-pf1409,26 JUN 2014
58,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1403,27 MAY 2014
59,19th Century European Paintings,19th-century-european-paintings-l14101,22 MAY 2014
60,19th Century European Art,19th-century-european-art-n09143,09 MAY 2014
61,"Une famille et Napoléon, Collections du Maréchal Berthier, Prince de Wagram",family-first-empire-marshal-berthier-pf1450,29 APR 2014
62,Collections,collections-l14304,29 APR 2014
63,The Orientalist Sale,orientalist-sale-l14100,08 APR 2014
64,Curiosité : un Regard Moderne,curiosite-regard-moderne-pf1440,26 MAR 2014
65,Ancienne collection de la vicomtesse de Courval,collection-vicomtesse-courval-pf1430,25 MAR 2014
66,Félix Marcilhac - Collection Privée,collection-privee-felix-marcilhac, 11 MAR 2014—12 MAR 2014
