,auctionName,auctionId,auctionDate
67,1000 Ways of Seeing: The Private Collection of the late Stanley J. Seeger,1000-ways-seeing-l14313, 05 MAR 2014—06 MAR 2014
68,Impressionist &amp; Modern Art Day Sale,impressionist-modern-art-day-sale-l14004,06 FEB 2014
69,"Impressionist, Modern &amp; Surrealist Art Evening Sale ",impressionist-modern-art-evening-sale-l14002,05 FEB 2014
70,Of Royal and Noble Descent,royal-noble-descent-l14314,23 JAN 2014
71,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1306,03 DEC 2013
72,Contemporary East,contemporary-east-l13118,25 NOV 2013
73,19th Century European Paintings,european-paintings-l13102,20 NOV 2013
74,Regards sur l’Orient – Tableaux et Sculptures Orientalistes &amp; Art Islamique ,regards-sur-orient-orientalistes-islamique-pf1319,18 NOV 2013
75,Defining Taste&lt;br&gt;Works selected by Danny Katz,daniel-katz-sale-l13232,12 NOV 2013
76,19th Century European Art,19th-century-european-art-n09034,08 NOV 2013
77,Impressionist &amp; Modern Art Day Sale,impressionist-modern-art-day-sale-n09036,07 NOV 2013
78,Impressionist &amp; Modern Art Evening Sale,impressionist-modern-art-evening-sale-n09035,06 NOV 2013
79,Collections,collections-l13304,24 SEP 2013
80,Tableaux et Dessins Anciens et du XIXe siècle ,tableaux-anciens-19e-siecle,27 JUN 2013
81,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1303,04 JUN 2013
82,19th Century European Paintings,european-paintings-l13101,23 MAY 2013
83,19th Century European Art,19th-century-european-art-n08989,09 MAY 2013
84,Collections,collections-l13311,30 APR 2013
85,The Orientalist Sale,the-orientalist-sale,23 APR 2013
86,Collection de Nicolas Landau et Jacqueline Goldman,collection-de-nicolas-landau-et-jacqueline-goldman, 08 APR 2013—09 APR 2013
87,Impressionist and Modern Art Day Sale,impressionist-modern-art-day-sale-l13004,06 FEB 2013
88,Property from the Estate of Giancarlo Baroni,so-baroni-n08857, 29 JAN 2013—30 JAN 2013
89,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1206,03 DEC 2012
90,19th Century European Paintings,c19th-european-paintings-inc-greek-l12102,20 NOV 2012
91,19th Century European Art,19th-century-paintings-n08894,08 NOV 2012
92,19th Century Furniture and Decorative Arts,19th-c-furniture-n08893,24 OCT 2012
93,Collection Meyer,collection-musicale-andr-meyer, 16 OCT 2012—17 OCT 2012
94,"Collection Patrick Guerrand-Hermès, Tableaux Orientalistes et Art Islamique provenant de la Villa Aïn Kassimou, Marrakech ",collection-prive-tableaux-et-sculptures-orientalistes-art-islamique,09 OCT 2012
95,Regards sur l'Orient,regards-sur-lorient-pf1210,09 OCT 2012
96,Collections ,collections,27 SEP 2012
97,Property from the Estate of Brooke Astor,property-from-the-estate-of-brooke-astor-n08890, 24 SEP 2012—25 SEP 2012
98,Tableaux et Dessins Anciens et du XIXe siècle,tableaux-et-dessins-anciens-et-du-xixe-sicle,21 JUN 2012
99,European Paintings,european-paintings,11 JUN 2012
100,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1203,04 JUN 2012
101,19th Century European Art,19th-century-paintings-n08847,04 MAY 2012
102,From the Collection of Prince and Princess Henry De la Tour d'Auvergne Lauraguais,from-the-collection-of-prince-and-princess-henry-de-la-tour-dauvergne-lauraguais,03 MAY 2012
103,An Eye For Opulence- Art of the Ottoman Empire,an-eye-for-opulence-art-of-the-ottoman-empire,24 APR 2012
104,The Orientalist Sale,the-orientalist-sale,24 APR 2012
105,"The Collection of Suzanne Saperstein: 'Fleur-de-Lys,' Beverly Hills, California",the-collection-of-suzanne-saperstein-n08891,19 APR 2012
106,Distinctive Styles,distinctive-styles-property-from-the-collection-of-roger-rechler-new-york-and-property-from-the-kentucky-residence-of-dorothy-and-wendell-cherry,16 MAR 2012
107,Swiss Art,swiss-art,28 NOV 2011
108,European Paintings,european-paintings,22 NOV 2011
109,Regards sur l'Orient - Orientalist Paintings and Islamic Art,regards-sur-lorient-orientalist-paintings-and-islamic-art,16 NOV 2011
110,19th Century European Art,19th-century-european-art-n08783,04 NOV 2011
111,Old Master and British Paintings,old-master-and-british-paintings,27 OCT 2011
112,Collection Fabius Frères,collection-fabius-pf1124, 26 OCT 2011—27 OCT 2011
113,Property from the Collections of Lily &amp; Edmond J. Safra - Volumes I-VI ,property-from-the-collections-of-lily-edmond-j-safra-n08822, 18 OCT 2011—21 OCT 2011
114,Tableaux Anciens et du XIXe siècle,tableaux-anciens-et-du-xixe-sicle,23 JUN 2011
115,"Dipinti Antichi, Dipinti del Secolo XIX, Libri Antichi, Arredi, Giade, Oggetti d'Arte e la Collezione del Marchese Nicola Santangelo",old-master-paintings-19th-century-paint-mi0314, 14 JUN 2011—15 JUN 2011
116,The Hascoe Family Collection: Important Czech Art,property-from-the-hascoe-family-collection-important-czech-art-l11105,13 JUN 2011
117,19th Century European Paintings,19th-century-european-paintings-am1101,07 JUN 2011
118,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1103,30 MAY 2011
119,19th Century European Paintings,19th-century-european-paintings-l11101,18 MAY 2011
120,Modern &amp; Contemporary Art,19th-century-and-modern-contemporary-am1099,17 MAY 2011
121,The Greek Sale,the-greek-sale-l11100,09 MAY 2011
122,19th Century European Art including an Important Collection of Sculpture,19th-century-paintings-n08738,05 MAY 2011
123,Noblesse Oblige,princely-sale-l11309,14 APR 2011
124,Orientaliste,regards-sur-l39orient-orientalist-paintings-and-sculptures-islamic-art-pf1119,30 MAR 2011
125,Property from the Estate of Queen Juliana of The Netherlands: All to be Sold for the Benefit of Charity,appel-am1100, 14 MAR 2011—17 MAR 2011
126,Important Old Master and 19th Century Paintings from the Collection of Jacob Elie Safra,important-old-master-and-19th-century-paintings-from-the-collection-of-j-e-safra-n08759,26 JAN 2011
127,"A Travers les Styles: A Private Collection of Silver, Paintings and Furniture",a-travers-les-styles-a-private-collection-of-silver-paintings-and-furniture-pf1039,15 DEC 2010
128,19th Century Paintings &amp; Contemporary Art,19th-century-paintings-contemporary-art-am1094,13 DEC 2010
129,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1006,06 DEC 2010
130,"19th Century European Paintings Including Spanish Painting, The Orientalist Sale, and German, Austrian, Scandinavian and Symbolist Works",19th-century-european-paintings-including-spanish-painting-the-orientalist-sale-and-german-austrian-scandinavian-and-symbolist-works-l10104,23 NOV 2010
131,The Greek Sale,the-greek-sale-l10103,22 NOV 2010
132,"Old Master Paintings, 19th Century Paintings, Furniture, Works of Art and Rare Books ",old-master-paintings-19th-century-paintings-furniture-works-of-art-and-rare-books-mi0311,16 NOV 2010
133,19th Century European Art,19th-century-european-art-n08673,04 NOV 2010
134,"Important Old Master Paintings, Chinese Works of Art, Furniture and Silver from a Milanese Private Collection",important-old-master-paintings-chinese-works-of-art-furniture-and-silver-from-a-milanese-private-collection-mi0312,19 OCT 2010
135,"Mobilier, Orfèvrerie et Tableaux Anciens provenant de l&amp;#39;ancienne collection de Madame Antenor Patiño",mobilier-orfvrerie-et-tableaux-anciens-provenant-de-l39ancienne-collection-de-madame-antenor-patio-pf1037, 22 SEP 2010—23 SEP 2010
136,Old Master and British Paintings Day Sale,old-master-and-british-paintings-day-sale-l10034,08 JUL 2010
137,Regards sur l&amp;#39;Orient: Orientalist Paintings and Sculptures - Islamic Art,regards-sur-l39orient-orientalist-paintings-and-sculptures-islamic-art-pf1036,23 JUN 2010
138,Old Masters and 19th Century Paintings and Drawings,old-masters-and-19th-century-paintings-and-drawings-pf1019,22 JUN 2010
139,"19th C. Paintings, Furniture, Maiolica, Silver and Rare Books",19th-c-paintings-furniture-maiolica-silver-and-rare-books-mi0313,16 JUN 2010
140,19th Century European Paintings &amp; Contemporary Art,19th-century-european-paintings-contemporary-art-am1091,14 JUN 2010
141,Schweizer Kunst / Swiss Art,schweizer-kunst-swiss-art-zh1003,14 JUN 2010
142,Important Old Master Paintings,important-old-master-paintings-mi0309,08 JUN 2010
143,Old Master &amp; 19th Century European Art,old-master-19th-century-european-art-n08643,03 JUN 2010
144,"19th Century European Paintings Including German, Austrian and Central European Paintings, The Orientalist Sale, Spanish Painting and the Scandinavian Sale",19th-century-european-paintings-including-german-austrian-and-central-european-paintings-the-orientalist-sale-spanish-painting-and-the-scandinavian-sale-l10101,02 JUN 2010
145,The Greek Sale,the-greek-sale-l10100,17 MAY 2010
146,19th Century European Art,19th-century-european-art-n08630,23 APR 2010
147,"Collection Violette de Talleyrand, Duchesse de Sagan, Former collection Gaston Palewski",collection-violette-de-talleyrand-duchesse-de-sagan-former-collection-gaston-palewski-pf1010,18 MAR 2010
148,Old Master &amp; 19th Century European Art,old-master-19th-century-european-art-n08611,29 JAN 2010
149,19th Century European Paintings and Modern &amp; Contemporary Art,19th-century-european-paintings-and-modern-contemporary-art-am1086,15 DEC 2009
150,"Old Master Paintings, 19th C Paintings, Furniture and Works of Art ",old-master-paintings-19th-c-paintings-furniture-and-works-of-art-mi0305,15 DEC 2009
151,Schweizer Kunst / Swiss Art ,schweizer-kunst-swiss-art-zh0906,07 DEC 2009
152,"19th Century European Paintings including Spanish Painting, The Orientalist Sale, and German, Austrian, Scandinavian and Symbolist Works",19th-century-european-paintings-including-spanish-painting-the-orientalist-sale-and-german-austrian-scandinavian-and-symbolist-works-l09663,24 NOV 2009
153,"A Piedmontese Villa, the contents of Vigna Corte di Bonvicino, Moncalieri (Turin)",a-piedmontese-villa-the-contents-of-vigna-corte-di-bonvicino-moncalieri-turin-l09779,17 NOV 2009
154,The Greek Sale,the-greek-sale-l09662,09 NOV 2009
155,Orientalist Sale,orientalist-sale-pf9014,28 OCT 2009
156,19th Century European Art including Important British Paintings,19th-century-european-art-including-important-british-paintings-n08580,22 OCT 2009
157,Salvatore e Francesco Romano. Antiquari a Firenze.  A Century as Antique Dealers at Palazzo Magnani Feroni,salvatore-e-francesco-romano-antiquari-a-firenze-a-century-as-antique-dealers-at-palazzo-magnani-feroni-mi0294, 12 OCT 2009—15 OCT 2009
158,"Photographs, Furniture, and Works of Art from a Parisian Flat, Avenue Montaigne ",photographs-furniture-and-works-of-art-from-a-parisian-flat-avenue-montaigne-pf9093,23 SEP 2009
159,The Barbara Piasecka Johnson Collection: Day Sale,the-barbara-piasecka-johnson-collection-day-sale-l09639,09 JUL 2009
160,The Barbara Piasecka Johnson Collection: Renaissance &amp; Baroque Masterworks.,the-barbara-piasecka-johnson-collection-renaissance-baroque-masterworks-l09638,08 JUL 2009
161,Old Master and 19th Century Drawings and Paintings,old-master-and-19th-century-drawings-and-paintings-pf9011,24 JUN 2009
162,"Dal Piano Nobile di Palazzo Contarini di Corfù Scamozzi, Venezia. Importanti Dipinti Antichi, Arredi e Oggetti d&amp;#39;Arte",dal-piano-nobile-di-palazzo-contarini-di-corf-scamozzi-venezia-importanti-dipinti-antichi-arredi-e-oggetti-d39arte-mi0306,23 JUN 2009
163,"Old Master Paintings, XIX Century Paintings, Furniture, Ceramics and Works of Art and Books",old-master-paintings-xix-century-paintings-furniture-ceramics-and-works-of-art-and-books-mi0299, 09 JUN 2009—10 JUN 2009
164,Schweizer Kunst / Swiss Art ,schweizer-kunst-swiss-art-zh0903,08 JUN 2009
165,Old Master &amp; 19th Century European Art,old-master-19th-century-european-art-n08559,05 JUN 2009
166,The Scandinavian Sale,the-scandinavian-sale-l09664,03 JUN 2009
167,"19th Century European Paintings including German, Austrian &amp; Central European Paintings, The Orientalist Sale, Spanish Painting and The Scandinavian Sale",19th-century-european-paintings-including-german-austrian-central-european-paintings-the-orientalist-sale-spanish-painting-and-the-scandinavian-sale-l09661,03 JUN 2009
168,Sporting and Marine Art,sporting-and-marine-art-l09681,07 MAY 2009
169,The Greek Sale,the-greek-sale-l09660,06 MAY 2009
170,Scottish Pictures,scottish-pictures-l09686,29 APR 2009
171,"19th Century European Art including Orientalist Paintings, Drawings &amp; Sculpture",19th-century-european-art-including-orientalist-paintings-drawings-sculpture-n08542,24 APR 2009
172,19th Century European Paintings,19th-century-european-paintings-am1073,22 APR 2009
173,"Furniture, Clocks &amp; Decorative Arts",furniture-clocks-decorative-arts-am1072,07 APR 2009
174,Collection Robert Lebel: Old Master and 19th-century Drawings,collection-robert-lebel-old-master-and-19th-century-drawings-pf9022,25 MAR 2009
175,British and Continental Pictures &amp; 20th Century British Art,british-and-continental-pictures-20th-century-british-art-l09695,25 MAR 2009
176,A Collection of Orientalist Art,a-collection-of-orientalist-art-d09003,18 MAR 2009
177,"PAINTINGS, FURNITURE AND WORKS OF ART FROM THE COLLECTION OF GIANNI VERSACE VILLA FONTANELLE, MOLTRASIO ",paintings-furniture-and-works-of-art-from-the-collection-of-gianni-versace-villa-fontanelle-moltrasio-l09761,18 MAR 2009
178,Old Master and 19th Century European Art,old-master-and-19th-century-european-art-n08517,31 JAN 2009
179,XIXth Century Paintings and Sculptures,xixth-century-paintings-and-sculptures-mi0297,18 DEC 2008
180,Property from Royal and Noble Families,property-from-royal-and-noble-families-am1060,17 DEC 2008
181,Victorian &amp; Edwardian Art,victorian-edwardian-art-l08132,09 DEC 2008
182,Marine Sale,marine-sale-l08135,09 DEC 2008
183,"The Sporting Sale: Equestrian, Wildlife &amp; Maritime Art",the-sporting-sale-equestrian-wildlife-maritime-art-n08496,05 DEC 2008
184,Swiss Art,swiss-art-zh0806,26 NOV 2008
185,"A GREAT BRITISH COLLECTION: The pictures collected by Sir David and Lady Scott, sold to benefit the Finnis Scott Foundation",a-great-british-collection-the-pictures-collected-by-sir-david-and-lady-scott-sold-to-benefit-the-finnis-scott-foundation-l08137,19 NOV 2008
186,"European Paintings including The Orientalist Sale, Symbolism and the Poetic Vision and Spanish Painting",european-paintings-including-the-orientalist-sale-symbolism-and-the-poetic-vision-and-spanish-painting-l08103,12 NOV 2008
187,The Greek Sale,the-greek-sale-l08102,11 NOV 2008
188,"Orientalist Sale: Paintings, Sculptures and Works of Art",orientalist-sale-paintings-sculptures-and-works-of-art-pf8014,29 OCT 2008
189,British and Continental Pictures,british-and-continental-pictures-l08134,28 OCT 2008
190,19th Century European Art including The Orientalist Sale,19th-century-european-art-including-the-orientalist-sale-n08481,23 OCT 2008
191,Property from the Estate of Rochelle Sepenuk,property-from-the-estate-of-rochelle-sepenuk-n08508,21 OCT 2008
192,19th Century European Paintings,19th-century-european-paintings-am1055,15 OCT 2008
193,European Collections,european-collections-am1062,30 SEP 2008
194,A Distinguished Private Collection from Corsica,a-distinguished-private-collection-from-corsica-am1063,29 SEP 2008
195,Scottish &amp; Sporting Pictures,scottish-sporting-pictures-l08621,26 AUG 2008
196,19th Century Paintings and Drawings,19th-century-paintings-and-drawings-pf8031,25 JUN 2008
197,Old Master Paintings and Drawings,old-master-paintings-and-drawings-pf8011,25 JUN 2008
198,19th Century Paintings and Sculpture,19th-century-paintings-and-sculpture-mi0293,18 JUN 2008
199,The Scandinavian Sale,the-scandinavian-sale-l08104,30 MAY 2008
200,"European Paintings including German, Austrian &amp; Central European Paintings and The Orientalist Sale",european-paintings-including-german-austrian-central-european-paintings-and-the-orientalist-sale-l08101,30 MAY 2008
201, Swiss Art,swiss-art-zh0803,27 MAY 2008
202,19th Century European Art including The Orientalist Sale,19th-century-european-art-including-the-orientalist-sale-n08431,18 APR 2008
203,The Greek Sale,the-greek-sale-l08100,17 APR 2008
204,19th Century Paintings,19th-century-paintings-am1049,14 APR 2008
205,British and Continental Pictures,british-and-continental-pictures-l08133,06 MAR 2008
206,   Old Master and 19th Century European Art  ,old-master-and-19th-century-european-art-n08406,26 JAN 2008
207,19th Century Paintings and Sculptures  ,19th-century-paintings-and-sculptures-mi0283,19 DEC 2007
208,JEWELS FOR THE JUNGLE A private collection of jewellery to benefit  the World Wide Fund for Nature,jewels-for-the-jungle-a-private-collection-of-jewellery-to-benefit-the-world-wide-fund-for-nature-am1035,04 DEC 2007
209,Sporting Art,sporting-art-n08369,29 NOV 2007
210,Swiss Art ,swiss-art-zh0707,27 NOV 2007
211,19th Century Paintings including Spanish Painting and Symbolism &amp; the Poetic Vision,19th-century-paintings-including-spanish-painting-and-symbolism-the-poetic-vision-l07103,14 NOV 2007
212,The Greek Sale,the-greek-sale-l07102,14 NOV 2007
213,Property from Aristocratic Families including Coaches from a Royal Stable,property-from-aristocratic-families-including-coaches-from-a-royal-stable-am1031, 29 OCT 2007—30 OCT 2007
214,"Ariane Dandois: European Furniture, Paintings &amp; Asian Art",ariane-dandois-european-furniture-paintings-asian-art-n08361, 25 OCT 2007—26 OCT 2007
215,Orientalist Sale,orientalist-sale-pf7023,24 OCT 2007
216,19th Century European Paintings,19th-century-european-paintings-am1030,16 OCT 2007
217,British &amp; Continental Paintings,british-continental-paintings-l07704,03 OCT 2007
218,"European Collections: Paintings, Ceramics, Glass, Furniture and other Works of Art",european-collections-paintings-ceramics-glass-furniture-and-other-works-of-art-am1028, 17 SEP 2007—18 SEP 2007
219,"Paintings, Drawings and Watercolours",paintings-drawings-and-watercolours-am1024,04 SEP 2007
220,Scottish and Sporting Pictures,scottish-and-sporting-pictures-l07621,29 AUG 2007
221,British &amp; Continental Pictures including Sporting and Marine Paintings,british-continental-pictures-including-sporting-and-marine-paintings-w07703,11 JUL 2007
222,"19th Century European Paintings including German, Austrian &amp; Central European Paintings, and The Orientalist Sale",19th-century-european-paintings-including-german-austrian-central-european-paintings-and-the-orientalist-sale-l07101,27 JUN 2007
223,Old Master and 19th Century Drawings and Paintings,old-master-and-19th-century-drawings-and-paintings-pf7008,19 JUN 2007
224,19th Century Paintings and Sculpture,19th-century-paintings-and-sculpture-mi0276,12 JUN 2007
225,Swiss Art,swiss-art-zh0704,05 JUN 2007
226,British &amp; Continental Pictures including Greek Art,british-continental-pictures-including-greek-art-w07702,17 MAY 2007
227,The Greek Sale,the-greek-sale-l07100,10 MAY 2007
228,19th Century European Paintings,19th-century-european-paintings-am1026,24 APR 2007
229,19th Century European Art,19th-century-european-art-n08303,18 APR 2007
230,L&amp;#39;Appartement d&amp;#39;Alvar Gonzalez-Palacios à Paris,lappartement-dalvar-gonzalez-palacios-paris-pf7024,29 MAR 2007
231,An Important Private Collection from Hanover,an-important-private-collection-from-hanover-am1020, 27 MAR 2007—29 MAR 2007
232,British &amp; Continental Paintings,british-continental-paintings-w07701,21 MAR 2007
233,"Paintings, Drawings and Watercolours",paintings-drawings-and-watercolours-am1023,14 MAR 2007
234,"The Estate of Christian, Lady Hesketh:Sold by order of her Executors, together with property of the Trustees of the 2nd Baron Hesketh&amp;#39;s Will Trust",the-estate-of-christian-lady-heskethsold-by-order-of-her-executors-together-with-property-of-the-trustees-of-the-2nd-baron-heskeths-will-trust-l07500,07 MAR 2007
235,The Frits Philips Collection,the-frits-philips-collection-am1025, 04 DEC 2006—05 DEC 2006
236,Crowns and Coronets 2006,crowns-and-coronets-2006-am1010, 31 OCT 2006—01 NOV 2006
237,19th Century European Paintings,19th-century-european-paintings-am1009,17 OCT 2006
238,Old Master and 19th Century Drawings and Paintings,old-master-and-19th-century-drawings-and-paintings-pf6010,19 JUN 2006
239,"European private collection, Important French Furniture and Tournai Porcelain",european-private-collection-important-french-furniture-and-tournai-porcelain-pf6022,14 JUN 2006
240,19th Century Paintings and Sculptures,19th-century-paintings-and-sculptures-mi0262,07 JUN 2006
241,Property from the Collections of Lily &amp; Edmond J. Safra,property-from-the-collections-of-lily-edmond-j-safra-n08124, 03 NOV 2005—04 NOV 2005
242,Property of the Greentree Foundation from the Collection of Mr. and Mrs. John Hay Whitney:  Impressionist and Modern Art,property-of-the-greentree-foundation-from-the-collection-of-mr-and-mrs-john-hay-whitney-impressionist-and-modern-art-n07989,05 MAY 2004
243,19th Century European Art,19th-century-european-art-n09499,18 MAY 2016
244,At Home: Sotheby’s Designer Showhouse and Auction,sothebys-designer-showhouse-and-auction-n09494,17 APR 2016
245,Collections: European Decorative Arts,collections-european-decorative-arts-n09493, 13 APR 2016—14 APR 2016
246,Master Paintings &amp; 19th Century European Art,master-paintings-19th-century-european-art-n09459, 29 JAN 2016—30 JAN 2016
247,19th Century European Art,19th-century-european-art-n09417,03 NOV 2015
248,19th Century Furniture and Decorative Arts,19th-century-furniture-decorative-arts-n09410,15 OCT 2015
249,Property from a Distinguished Private Asian Collection,distinguished-private-asian-collection-n09361,15 OCT 2015
250,19th Century European Art,19th-century-european-art-n09342,07 MAY 2015
251,Sotheby's Designer Showhouse,sothebys-designer-showhouse-n09333,20 APR 2015
252,Private Collections,private-collections-n09369,18 APR 2015
253,19th Century European Art,19th-century-european-art-n09218,06 NOV 2014
254,19th Century Furniture and Decorative Art,19th-c-furniture-decorative-arts-n09205,29 OCT 2014
255,"Property from the Estate of Rochelle Sepenuk, Part II ",estate-rochelle-sepenuk-n09212,29 OCT 2014
256,19th Century Furniture and Decorative Art,19th-c-furniture-vo-n09136,06 JUN 2014
257,19th Century European Art,19th-century-european-art-n09143,09 MAY 2014
258,19th Century European Art,19th-century-european-art-n09034,08 NOV 2013
259,19th Century Furniture and Decorative Arts,19th-century-furniture-n09021,30 OCT 2013
260,19th Century European Art,19th-century-european-art-n08989,09 MAY 2013
